               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.043554,            0.042203,           0.0080504,             0.82089,              0.4387,             0.51319,             0.25854,            0.037409,            0.036672,            0.010425,            0.008812,            0.008812,            0.008812
                  38,            0.041109,            0.038628,           0.0085265,             0.85681,              0.4537,             0.54646,             0.29697,            0.034479,            0.033425,            0.010696,            0.008779,            0.008779,            0.008779
                  39,            0.041528,            0.038109,           0.0075092,             0.85591,             0.45973,             0.59716,              0.3455,            0.031978,            0.032047,           0.0093055,            0.008746,            0.008746,            0.008746
                  40,            0.041822,            0.040064,            0.007256,             0.88019,             0.46092,             0.57609,             0.29502,            0.035845,            0.032283,           0.0086785,            0.008713,            0.008713,            0.008713
                  41,            0.040433,            0.037048,           0.0073292,              0.4048,             0.58129,             0.51188,             0.26368,             0.03561,            0.033819,            0.009517,             0.00868,             0.00868,             0.00868
                  42,            0.041615,               0.038,           0.0077483,             0.90231,             0.44852,             0.57141,             0.28257,            0.034496,            0.032031,           0.0092466,            0.008647,            0.008647,            0.008647
                  43,            0.041168,            0.038409,           0.0075374,             0.89639,             0.45219,              0.5489,             0.30574,            0.031464,            0.031798,           0.0094439,            0.008614,            0.008614,            0.008614
                  44,            0.038427,            0.037001,           0.0078707,             0.82595,             0.47588,             0.54874,             0.30505,            0.031554,            0.031872,           0.0097074,            0.008581,            0.008581,            0.008581
                  45,            0.040094,            0.036735,           0.0072659,             0.86065,             0.46885,             0.57454,             0.30711,            0.031414,            0.031641,            0.008508,            0.008548,            0.008548,            0.008548
                  46,            0.038185,            0.036306,           0.0073929,             0.86581,             0.46292,             0.54707,             0.30337,            0.032062,            0.031471,           0.0089655,            0.008515,            0.008515,            0.008515
                  47,            0.038769,            0.036497,           0.0068918,             0.51472,             0.68872,             0.63424,             0.36015,            0.030485,            0.031061,           0.0081373,            0.008482,            0.008482,            0.008482
                  48,            0.039099,            0.037312,           0.0067703,             0.43403,             0.56429,             0.53578,             0.26089,            0.035445,            0.032481,            0.010343,            0.008449,            0.008449,            0.008449
                  49,            0.038847,            0.035217,           0.0068581,             0.50598,             0.65208,             0.60828,             0.33255,            0.031383,            0.031569,           0.0081728,            0.008416,            0.008416,            0.008416
                  50,            0.037608,            0.040076,           0.0075306,               0.849,             0.47462,             0.58177,             0.32642,            0.030963,            0.031016,           0.0089505,            0.008383,            0.008383,            0.008383
                  51,            0.037017,            0.036434,           0.0068794,             0.56916,             0.61812,             0.62708,             0.35124,            0.031774,            0.030878,           0.0081815,             0.00835,             0.00835,             0.00835
                  52,             0.03809,             0.03862,           0.0074107,             0.59221,             0.62109,             0.63186,             0.36443,            0.030713,            0.030768,           0.0078852,            0.008317,            0.008317,            0.008317
                  53,            0.036798,            0.036919,           0.0073076,             0.57968,             0.59181,              0.6125,             0.33985,             0.02954,            0.031319,           0.0073668,            0.008284,            0.008284,            0.008284
                  54,             0.03632,            0.034497,           0.0060512,             0.50579,             0.68237,             0.65975,              0.3846,              0.0292,            0.030643,           0.0076707,            0.008251,            0.008251,            0.008251
                  55,            0.037855,            0.033566,            0.006847,             0.56003,             0.61538,             0.62153,             0.34785,            0.031655,            0.030577,           0.0077932,            0.008218,            0.008218,            0.008218
                  56,            0.037987,            0.035753,            0.006572,             0.58821,             0.63014,             0.64818,             0.37613,            0.030433,            0.031297,           0.0074452,            0.008185,            0.008185,            0.008185
                  57,            0.038074,            0.035097,           0.0067168,              0.5706,             0.67286,             0.65484,             0.36558,            0.030492,            0.030856,           0.0088198,            0.008152,            0.008152,            0.008152
                  58,            0.035895,            0.034224,           0.0065933,             0.62319,             0.67195,             0.67967,             0.39132,             0.02842,            0.030211,           0.0074756,            0.008119,            0.008119,            0.008119
                  59,            0.035631,            0.035569,           0.0065711,             0.77215,             0.61031,             0.67304,             0.41829,            0.027744,            0.029508,           0.0077503,            0.008086,            0.008086,            0.008086
                  60,            0.037271,            0.036574,           0.0063743,             0.78951,              0.5685,             0.62916,             0.37266,             0.02869,            0.030271,           0.0078945,            0.008053,            0.008053,            0.008053
                  61,            0.034565,            0.033695,           0.0061169,             0.48518,             0.71161,             0.64787,              0.3742,            0.028942,            0.029768,           0.0075889,             0.00802,             0.00802,             0.00802
                  62,            0.036128,            0.034604,           0.0059763,             0.52577,             0.70551,             0.65377,             0.36868,            0.030714,            0.030003,           0.0073996,            0.007987,            0.007987,            0.007987
                  63,            0.037431,            0.034815,           0.0057061,             0.60056,             0.60622,             0.62328,             0.35365,             0.02994,            0.030294,           0.0090694,            0.007954,            0.007954,            0.007954
                  64,            0.034231,            0.032866,           0.0057649,             0.59542,             0.62352,             0.62626,             0.37438,            0.027713,             0.02998,           0.0080551,            0.007921,            0.007921,            0.007921
                  65,            0.035044,            0.033507,           0.0055627,             0.68297,             0.62209,              0.6716,             0.38729,            0.030127,            0.029959,           0.0077199,            0.007888,            0.007888,            0.007888
                  66,            0.035702,            0.031048,           0.0056968,             0.80363,             0.56666,             0.62861,             0.37949,            0.027265,              0.0295,            0.008721,            0.007855,            0.007855,            0.007855
                  67,             0.03351,            0.033977,            0.005406,              0.5784,              0.6743,             0.66572,             0.39505,            0.027877,            0.030268,           0.0078092,            0.007822,            0.007822,            0.007822
                  68,            0.033943,            0.032744,           0.0054841,             0.54992,             0.69695,             0.66869,             0.38947,            0.028337,            0.029266,           0.0074682,            0.007789,            0.007789,            0.007789
                  69,            0.033976,            0.033187,           0.0053512,             0.71209,             0.64425,              0.6834,             0.41448,            0.027718,            0.029743,           0.0079416,            0.007756,            0.007756,            0.007756
                  70,            0.034454,            0.032856,           0.0057957,             0.65189,             0.67612,             0.68851,             0.41084,            0.027473,            0.029056,           0.0069148,            0.007723,            0.007723,            0.007723
